Date,GPR_REAL,GPR_REAL_MiddleEast,GPR_REAL_Russia,GPR_REAL_Venezuela,GPR_REAL_USA,GPR_REAL_Americas,GPR_REAL_Africa,GPR_REAL_Asia,GPR_REAL_NorthSea
2020-01-01,138.421,0.803,1.178,0.141,3.622,0.073,0.099,0.447,0.863
2020-02-01,75.956,0.178,0.66,0.111,1.516,0.061,0.067,0.317,0.461
2020-03-01,81.54,0.081,0.428,0.107,1.71,0.094,0.046,0.241,0.453
2020-04-01,69.339,0.135,0.353,0.051,1.532,0.08,0.032,0.221,0.327
2020-05-01,68.507,0.081,0.293,0.158,1.708,0.09,0.035,0.27,0.302
2020-06-01,71.228,0.06,0.489,0.069,1.652,0.061,0.069,0.275,0.362
2020-07-01,66.473,0.095,0.401,0.032,1.539,0.033,0.044,0.327,0.356
2020-08-01,65.466,0.129,0.512,0.062,1.456,0.053,0.043,0.237,0.296
2020-09-01,80.377,0.103,0.932,0.081,1.698,0.041,0.06,0.3,0.374
2020-10-01,76.083,0.114,0.852,0.025,1.662,0.042,0.035,0.219,0.344
2020-11-01,70.067,0.138,0.454,0.064,1.312,0.055,0.075,0.144,0.34
2020-12-01,64.067,0.222,0.576,0.09,1.435,0.042,0.058,0.211,0.241
2021-01-01,77.419,0.199,0.593,0.093,1.902,0.075,0.068,0.264,0.285
2021-02-01,73.957,0.198,0.512,0.024,1.575,0.034,0.031,0.272,0.401
2021-03-01,78.619,0.227,0.633,0.044,1.76,0.045,0.061,0.304,0.386
2021-04-01,88.166,0.084,1.197,0.033,1.979,0.038,0.043,0.282,0.419
2021-05-01,93.007,0.091,0.827,0.018,2.017,0.031,0.132,0.247,0.52
2021-06-01,74.127,0.102,0.831,0.023,1.699,0.027,0.062,0.249,0.378
2021-07-01,58.421,0.063,0.488,0.045,1.25,0.032,0.042,0.178,0.289
2021-08-01,89.487,0.063,0.685,0.068,2.148,0.043,0.055,0.206,0.521
2021-09-01,80.697,0.103,0.604,0.037,1.919,0.059,0.031,0.293,0.543
2021-10-01,79.029,0.103,0.547,0.027,1.644,0.028,0.052,0.261,0.394
2021-11-01,86.569,0.128,1.213,0.047,1.862,0.033,0.055,0.273,0.533
2021-12-01,105.345,0.148,1.723,0.054,2.478,0.036,0.038,0.301,0.652
2022-01-01,138.675,0.218,2.778,0.092,3.316,0.078,0.042,0.273,0.938
2022-02-01,216.159,0.176,5.396,0.035,4.878,0.069,0.049,0.537,1.571
2022-03-01,318.955,0.457,8.801,0.246,6.899,0.125,0.12,0.879,2.193
2022-04-01,191.143,0.128,4.829,0.047,3.966,0.08,0.074,0.397,1.266
2022-05-01,142.258,0.051,3.192,0.057,3.146,0.055,0.074,0.373,0.886
2022-06-01,130.707,0.188,3.026,0.065,2.879,0.06,0.084,0.322,0.845
2022-07-01,117.177,0.418,2.695,0.035,2.585,0.046,0.083,0.31,0.613
2022-08-01,132.863,0.124,2.416,0.041,3.132,0.05,0.101,0.458,0.619
2022-09-01,131.986,0.112,3.022,0.053,2.928,0.054,0.035,0.401,0.792
2022-10-01,143.162,0.369,3.385,0.114,3.402,0.074,0.036,0.417,0.699
2022-11-01,116.716,0.165,2.463,0.029,2.697,0.053,0.108,0.509,0.624
2022-12-01,111.196,0.161,2.281,0.062,2.554,0.059,0.031,0.324,0.558
2023-01-01,104.267,0.044,1.971,0.044,2.407,0.087,0.036,0.236,0.594
2023-02-01,120.994,0.14,2.302,0.02,2.975,0.045,0.078,0.525,0.574
2023-03-01,105.38,0.366,2.046,0.006,2.624,0.034,0.039,0.499,0.463
2023-04-01,106.81,0.415,1.809,0.065,2.445,0.083,0.141,0.443,0.522
2023-05-01,108.468,0.333,1.902,0.042,2.508,0.091,0.147,0.392,0.576
2023-06-01,110.529,0.208,2.214,0.055,2.459,0.054,0.082,0.383,0.606
2023-07-01,107.449,0.093,2.08,0.056,2.484,0.078,0.072,0.35,0.55
2023-08-01,101.141,0.267,1.966,0.024,2.16,0.059,0.077,0.35,0.57
2023-09-01,98.635,0.248,1.906,0.042,2.22,0.07,0.091,0.413,0.62
