국가명,국가등급,평가일자
가나,7,2025-10-17
가봉,7,2025-10-17
가이아나,5,2025-10-17
감비아,7,2025-10-17
과달루프,3,2025-12-30
과테말라,4,2025-10-17
괌,3,2025-12-30
그레나다,5,2024-11-21
그루지아,6,2015-02-06
그리스,4,2025-12-30
그린랜드,3,2025-12-30
기니,7,2025-10-17
기니비사우,7,2025-10-17
나미비아,6,2025-07-03
나바사섬,7,2025-12-30
나우루,3,2024-11-21
나이지리아,6,2025-10-17
남수단,7,2025-07-03
남아프리카공화국,4,2025-07-03
남조지아.남샌드위치군도,7,2025-12-30
네덜란드,1,2025-12-30
네덜란드령 안틸레스,5,2010-07-09
네팔,6,2025-07-03
노르웨이,1,2025-12-30
노르웨이속령,7,2025-12-30
노르포크 아일랜드,7,2007-10-09
노포크 아일랜드,7,2025-12-30
뉴 칼레도니아,3,2007-10-09
뉴질랜드,1,2025-12-30
뉴칼레도니아,4,2025-12-30
니우에,5,2025-12-30
니제르,7,2025-10-17
니카라과,7,2025-10-17
대만,2,2025-07-03
대한민국,1,2025-12-30
덴마크,1,2025-12-30
도미니카 연방,5,2024-11-21
도미니카공화국,4,2025-10-17
독일,1,2025-12-30
동티모르,6,2025-07-03
라오스,7,2025-07-03
라이베리아,7,2025-10-17
라트비아,2,2025-12-30
러시아,7,2026-02-06
레바논,7,2026-02-06
레소토,6,2025-07-03
레위니옹,4,2025-12-30
로스속령,7,2025-12-30
루마니아,3,2026-02-06
룩셈부르크,1,2025-12-30
르완다,6,2025-07-03
리비아,7,2026-02-06
리유니온,4,2007-10-09
리투아니아,2,2025-12-30
리히텐쉬타인,2,2007-10-09
리히텐슈타인,1,2024-11-21
마다가스카르,7,2025-07-03
마샬군도,5,2024-11-21
마요뜨,5,2025-12-30
마요티,5,2007-10-09
마카오,2,2024-11-21
마케도니아,5,2020-02-05
말라위,7,2025-07-03
말레이시아,2,2025-07-03
말리,7,2025-10-17
말티니크,3,2025-12-30
맨섬,3,2025-12-30
맨아일,2,2007-10-09
멕시코,3,2025-10-17
멜리야,4,2025-12-30
모나코,2,2024-11-21
모로코,3,2026-02-06
모리셔스,3,2025-07-03
모리타니아,6,2025-10-17
모잠비크,7,2025-07-03
몬테네그로,6,2026-02-06
