15318AA6 국가별(1),15318AA6 국가별(2),Y2020 2020,Y2021 2021,Y2022 2022,Y2023 2023,Y2024 2024,Y2025 2025
15318AA600 합계,소계,980259.0,960147.0,1031283.0,1005770.0,1029398.0,1028444.0
15318AA6AA 아시아,소계,88493.0,113932.0,91418.0,69224.0,44840.0,51648.0
15318AA6AA 아시아,15318AA6AAAB 필리핀,585.0,718.0,145.0,323.0,474.0,123.0
15318AA6AA 아시아,15318AA6AAAC 태국,,281.0,,300.0,,
15318AA6AA 아시아,15318AA6AAAD 말레이시아,1582.0,315.0,649.0,1421.0,366.0,5218.0
15318AA6AA 아시아,15318AA6AAAE 인도네시아,351.0,586.0,,1032.0,1418.0,1800.0
15318AA6AA 아시아,15318AA6AAAG 브루나이,1481.0,,581.0,,,
15318AA6AA 아시아,15318AA6AAAH 호주,14564.0,22009.0,20668.0,24581.0,26525.0,23510.0
15318AA6AA 아시아,15318AA6AAAI 뉴질랜드,,165.0,174.0,1222.0,1831.0,2200.0
15318AA6AA 아시아,15318AA6AAAJ 베트남,201.0,210.0,,285.0,,
15318AA6AA 아시아,15318AA6AAAL 파푸아뉴기니,3872.0,3239.0,619.0,1302.0,2698.0,3251.0
15318AA6AA 아시아,15318AA6AAAM 러시아,46929.0,53748.0,20983.0,,,
15318AA6AA 아시아,15318AA6AAAN 카자흐스탄,18928.0,32662.0,47599.0,38758.0,11529.0,15545.0
15318AA6AB 아프리카,소계,24549.0,32000.0,27703.0,16048.0,17973.0,22278.0
15318AA6AB 아프리카,15318AA6ABAA 알제리,8733.0,8577.0,7747.0,8449.0,12837.0,14443.0
15318AA6AB 아프리카,15318AA6ABAD 카메룬,308.0,,,948.0,,
15318AA6AB 아프리카,15318AA6ABAE 콩고,,4679.0,,330.0,,1841.0
15318AA6AB 아프리카,15318AA6ABAF 가봉,2627.0,7480.0,6697.0,951.0,,951.0
15318AA6AB 아프리카,15318AA6ABAG 나이지리아,9779.0,7325.0,10051.0,5369.0,2941.0,1989.0
15318AA6AB 아프리카,15318AA6ABAI 적도기니,3102.0,3939.0,3208.0,,1232.0,2560.0
15318AA6AB 아프리카,15318AA6ABAJ 모잠비크,,,,,963.0,494.0
15318AA6AC 아메리카,소계,173044.0,204188.0,204604.0,192408.0,222043.0,237078.0
15318AA6AC 아메리카,15318AA6ACAA 캐나다,523.0,5776.0,2268.0,,1372.0,4535.0
15318AA6AC 아메리카,15318AA6ACAB 미국,104409.0,118668.0,136414.0,142379.0,168411.0,174865.0
15318AA6AC 아메리카,15318AA6ACAB1 멕시코,50162.0,54400.0,40764.0,30483.0,26477.0,25825.0
15318AA6AC 아메리카,15318AA6ACAD 브라질,16926.0,23265.0,24132.0,17867.0,23672.0,30884.0
15318AA6AC 아메리카,15318AA6ACAE 에콰도르,,1080.0,1027.0,1679.0,2111.0,669.0
15318AA6AC 아메리카,15318AA6ACAJ 가이아나,,,,,,300.0
15318AA6AC 아메리카,15318AA6ACAH 콜롬비아,1025.0,1000.0,,,,
15318AA6AD 중동,소계,676409.0,574430.0,695122.0,723134.0,736192.0,710907.0
15318AA6AD 중동,15318AA6ADAB 이라크,77196.0,59993.0,87050.0,90514.0,96705.0,106945.0
15318AA6AD 중동,15318AA6ADAC 쿠웨이트,129699.0,101721.0,103656.0,96195.0,79824.0,87443.0
15318AA6AD 중동,15318AA6ADAD 카타르,59735.0,50610.0,48212.0,67782.0,57055.0,44948.0
15318AA6AD 중동,15318AA6ADAE 아랍에미리트,77563.0,56809.0,85235.0,109866.0,140641.0,116986.0
15318AA6AD 중동,15318AA6ADAF 사우디아라비아,325808.0,281774.0,339567.0,327603.0,331025.0,345431.0
15318AA6AD 중동,15318AA6ADAH 오만,3907.0,6574.0,3529.0,4911.0,6422.0,4469.0
15318AA6AD 중동,15318AA6ADAI 중립지대,2501.0,16949.0,27872.0,26263.0,24519.0,4686.0
15318AA6AE 유럽,소계,17765.0,35597.0,12436.0,4956.0,8350.0,6533.0
15318AA6AE 유럽,15318AA6AEAA 노르웨이,8631.0,17007.0,3101.0,727.0,2231.0,4517.0
15318AA6AE 유럽,15318AA6AEAB 영국,9134.0,18589.0,9336.0,4230.0,6119.0,2016.0
