월,유종,Dubai,Brent,WTI,Oman
20년 01월,,63.80,63.60,57.50,63.80
02월,,54.50,55.00,50.50,54.50
03월,,33.80,33.00,29.90,33.80
04월,,23.30,23.30,16.50,23.30
05월,,31.60,31.00,28.60,31.60
06월,,40.10,39.90,38.30,40.10
07월,,42.60,42.80,40.80,42.60
08월,,43.70,44.30,42.40,43.70
09월,,41.10,41.10,39.60,41.10
10월,,39.70,40.50,39.50,39.70
11월,,42.60,43.20,41.10,42.60
12월,,49.30,49.90,47.10,49.30
21년 01월,,54.20,54.60,52.10,54.20
02월,,60.40,62.00,59.10,60.40
03월,,64.00,65.20,62.40,64.00
04월,,62.40,64.80,61.70,62.40
05월,,66.00,68.00,65.20,66.00
06월,,71.00,73.10,71.40,71.00
07월,,73.00,74.40,72.50,73.00
08월,,68.90,70.00,67.70,68.90
09월,,72.20,74.60,71.60,72.20
10월,,81.20,83.70,81.30,81.20
11월,,79.80,80.80,79.20,79.80
12월,,72.80,74.30,71.50,72.80
22년 01월,,83.10,85.50,83.10,83.10
02월,,93.10,95.80,91.70,93.10
03월,,113.10,115.60,108.50,113.10
04월,,102.70,105.80,101.80,102.70
05월,,108.30,112.40,109.60,108.30
06월,,115.70,120.10,114.60,115.70
07월,,106.50,108.90,99.90,106.50
08월,,97.80,98.60,91.60,97.80
09월,,90.60,90.20,83.90,90.60
10월,,90.60,93.10,87.30,90.60
11월,,86.30,91.10,84.80,86.30
12월,,76.80,80.90,76.50,76.80
23년 01월,,80.00,83.10,78.10,80.00
02월,,81.20,82.70,76.80,81.20
03월,,77.50,78.50,73.40,77.50
04월,,83.80,84.10,79.40,83.80
05월,,75.10,75.70,71.60,75.10
06월,,74.70,74.90,70.20,74.70
07월,,80.50,80.10,76.40,80.50
08월,,86.60,86.20,81.40,86.60
09월,,93.10,94.00,89.60,93.10
10월,,90.60,91.10,85.60,90.60
11월,,83.50,83.20,77.40,83.50
12월,,77.20,77.90,72.10,77.20
24년 01월,,78.90,80.20,73.90,78.90
02월,,81.20,83.80,76.70,81.20
03월,,84.70,85.40,80.50,84.70
04월,,89.40,90.10,84.60,89.40
05월,,83.50,82.00,78.80,83.50
06월,,82.20,82.60,78.90,82.20
07월,,83.90,85.30,80.50,83.90
08월,,78.00,80.90,75.60,78.00
09월,,73.40,74.30,69.60,73.40
10월,,74.70,75.70,71.60,74.70
11월,,72.80,74.40,69.70,72.80
12월,,73.30,73.80,69.80,73.30
25년 01월,,80.10,79.20,75.10,80.10
02월,,75.00,75.20,71.30,75.00
03월,,71.70,72.60,67.80,71.70
04월,,66.90,67.70,63.10,66.90
05월,,63.00,64.20,61.00,63.00
06월,,68.50,71.50,67.50,68.50
07월,,69.20,71.00,67.40,69.20
08월,,67.90,68.20,64.10,67.90
09월,,67.80,68.00,63.70,67.80
10월,,64.30,64.70,60.20,64.30
11월,,63.80,63.60,59.60,63.80
12월,,62.00,62.70,57.90,62.00
26년 01월,,63.90,66.80,60.30,63.90
02월,,68.40,71.10,64.60,68.40
03월,,91.90,103.70,91.20,91.90
04월,,92.70,120.40,98.60,92.70
05월,,94.70,107.50,99.10,94.70
06월,,77.70,85.40,81.90,77.70
07월,,76.70,83.40,79.40,76.70
08월,,79.70,90.90,82.70,79.70
